POI_ID,USE_TYPE,NAME,NAME_LONG,LEVEL_ID,HEIGHT_REL,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,VALIDATION,STATUS
OtherBuildings.DignityHealthArena.L01.105-J-16,Seat,105-J-16,"105-J-16, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-17,Seat,105-J-17,"105-J-17, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-18,Seat,105-J-18,"105-J-18, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-19,Seat,105-J-19,"105-J-19, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-20,Seat,105-J-20,"105-J-20, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-21,Seat,105-J-21,"105-J-21, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-22,Seat,105-J-22,"105-J-22, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L01.105-J-23,Seat,105-J-23,"105-J-23, L01",OtherBuildings.DignityHealthArena.L01,0.00000000000,,,,,6,Unsold
OtherBuildings.DignityHealthArena.L0.114-B-21,Seat,114-B-21,"114-B-21, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-20,Seat,114-B-20,"114-B-20, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-19,Seat,114-B-19,"114-B-19, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-18,Seat,114-B-18,"114-B-18, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-17,Seat,114-B-17,"114-B-17, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-16,Seat,114-B-16,"114-B-16, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-15,Seat,114-B-15,"114-B-15, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-14,Seat,114-B-14,"114-B-14, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-13,Seat,114-B-13,"114-B-13, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-12,Seat,114-B-12,"114-B-12, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-11,Seat,114-B-11,"114-B-11, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-10,Seat,114-B-10,"114-B-10, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-09,Seat,114-B-09,"114-B-09, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-08,Seat,114-B-08,"114-B-08, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-07,Seat,114-B-07,"114-B-07, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-06,Seat,114-B-06,"114-B-06, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-05,Seat,114-B-05,"114-B-05, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-04,Seat,114-B-04,"114-B-04, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-03,Seat,114-B-03,"114-B-03, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-02,Seat,114-B-02,"114-B-02, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-B-01,Seat,114-B-01,"114-B-01, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-22,Seat,114-C-22,"114-C-22, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-21,Seat,114-C-21,"114-C-21, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-20,Seat,114-C-20,"114-C-20, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-19,Seat,114-C-19,"114-C-19, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-18,Seat,114-C-18,"114-C-18, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-17,Seat,114-C-17,"114-C-17, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-16,Seat,114-C-16,"114-C-16, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-15,Seat,114-C-15,"114-C-15, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-14,Seat,114-C-14,"114-C-14, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-13,Seat,114-C-13,"114-C-13, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-12,Seat,114-C-12,"114-C-12, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
OtherBuildings.DignityHealthArena.L0.114-C-11,Seat,114-C-11,"114-C-11, L0",OtherBuildings.DignityHealthArena.L0,0.00000000000,,,,,6,Sold
