SECTION_ID,NAME,NAME_LONG,LEVEL_ID,AREA_GROSS,HEIGHT_REL,SHAPE_Leng,SHAPE_Area,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,GlobalID
OtherBuildings.DignityHealthArena.L01.S3,S3,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.73138127650,15.22557857380,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{3C596931-E2B1-474B-B14E-BC2F132CF562}
OtherBuildings.DignityHealthArena.L01.S2,S2,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.83537783350,15.41799248690,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{E6335020-8E57-4A24-91C3-5A15EC465CA1}
OtherBuildings.DignityHealthArena.L01.S1,S1,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.88502077060,15.47887474260,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{1EF68B45-6B31-42A3-9DEB-4D773CEE7976}
OtherBuildings.DignityHealthArena.L01.S12,S12,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.82236935310,15.39441984280,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{D28270F7-808D-49BF-AB60-057325ED1975}
OtherBuildings.DignityHealthArena.L01.S11,S11,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.76479302260,15.28916661520,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{188F810E-2094-453B-8723-B3DA447C95FE}
OtherBuildings.DignityHealthArena.L01.S10,S10,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.88891337940,15.51428193770,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{1F2B6725-A5BD-4433-9347-1FA0A896034B}
OtherBuildings.DignityHealthArena.L01.S9,S9,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.87740122190,15.48095925170,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{DDF78B9A-DC6B-445D-8185-AEDB4F7DC30A}
OtherBuildings.DignityHealthArena.L01.S8,S8,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.99750978050,15.79690158110,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{61FDE9F1-E39F-4A29-BD5E-AD1BE7A2F70A}
OtherBuildings.DignityHealthArena.L01.S7,S7,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,16.79926056000,15.36345792020,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{4F4CC284-8739-4EBF-91DD-4ADA4342A8F3}
OtherBuildings.DignityHealthArena.L01.S25,S25,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,24.81596855260,23.76034910270,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{64DF554B-B351-49B2-8903-28F447CD24AE}
OtherBuildings.DignityHealthArena.L01.S24,S24,,OtherBuildings.DignityHealthArena.L01,0.00000000000,0.00000000000,14.81343685780,11.39893314670,ABHINOVDUTTA,11/20/2025,ABHINOVDUTTA,11/20/2025,{0CFF84FC-B123-4C7F-9106-6268EDB228D4}
