POI_ID,USE_TYPE,NAME,NAME_LONG,LEVEL_ID,SCHEDULE_E,CAPACITY,AREA_ID,ASSIGNMENT,AREA_GROSS,HEIGHT_REL,RESERVATIO,ORG_AREA_I,ALLOCATION,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,VALIDATION,ORIG_FID,CATEGORY_T,SYMBOL_CAT
OtherBuildings.DignityHealthArena.L01.189,RESTROOM,189,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,49.44817827940,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,438,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.121,RESTROOM,121,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,491.78946261600,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,440,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.123,RESTROOM,123,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,54.77789002870,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,441,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.125,RESTROOM,125,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,36.64353786140,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,442,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.194,CONCESSIONS,194,"CONCESSIONS, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,863.94224209800,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,445,Retail + Services,CONCESSIONS
OtherBuildings.DignityHealthArena.L01.127,RESTROOM,127,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,653.38407152000,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,446,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.129,RESTROOM,129,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,91.65814333180,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,447,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.131,RESTROOM,131,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,362.51659454700,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,448,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.134,RESTROOM,134,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,47.45359976660,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,449,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.138,RESTROOM,138,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,47.47031917810,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,450,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.140,RESTROOM,140,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,46.90116794730,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,451,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.142,RESTROOM,142,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,46.58694459750,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,452,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.144,RESTROOM,144,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,46.42679738220,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,453,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.147,RESTROOM,147,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,46.38555052270,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,454,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.151,RESTROOM,151,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,434.36355371100,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,455,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.159,STORAGE,159,"STORAGE, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,84.96010186210,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,457,Places + Things,STORAGE
OtherBuildings.DignityHealthArena.L01.164,RESTROOM,164,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,397.11459891700,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,458,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.165,RESTROOM,165,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,256.17755008200,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,459,Places + Things,RESTROOMS
OtherBuildings.DignityHealthArena.L01.160,CONCESSIONS,160,"CONCESSIONS, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,307.47059172100,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,460,Retail + Services,FOOD SERVICE
OtherBuildings.DignityHealthArena.L01.102,STORAGE,102,"STORAGE, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,266.31277518200,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,465,Places + Things,STORAGE
OtherBuildings.DignityHealthArena.L01.145,RESTROOM,145,"RESTROOM, L01",OtherBuildings.DignityHealthArena.L01,,0,,none,892.09692809000,0.00000000000,0,,,ABHINOVDUTTA,9/17/2025,ABHINOVDUTTA,9/28/2025,2,471,Places + Things,RESTROOMS
