FACILITY_I,NAME,NAME_LONG,SITE_ID,HEIGHT_REL,LEVELS_ABO,SHAPE_Leng,SHAPE_Area,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,GlobalID,VALIDATION
OtherBuildings.DignityHealthArena,Dignity Health Arena,Dignity Health Arena Building,OtherBuildings,0.00000000000,3,760.45206810900,25225.74925910000,ABHINOVDUTTA,11/18/2025,ABHINOVDUTTA,11/20/2025,{57318393-5D59-46F7-A5E2-AE6257740F8D},2
OtherBuildings.ParkingLot,Parking Lot,Parking Lot Area,OtherBuildings,0.00000000000,1,675.03911151500,24204.32646770000,ABHINOVDUTTA,11/18/2025,ABHINOVDUTTA,12/10/2025,{03171DFB-3EA9-400D-8D87-0AB9DC2A0A68},2
