DELAY,FACILITY_I,FACILITY_N,LENGTH_3D,LEVEL_NAME,LEVEL_NA_1,PATHWAY_RA,PATHWAY_TY,TRAVEL_DIR,VERTICAL_O,LEVEL_ID,SHAPE_Leng
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,2.41538155115,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,2.41538155115
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,2.82175997416,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,2.82175997416
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,1.87629348787,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,1.87629348787
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,3.60468197837,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,3.60468197837
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,12.09781211500,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,12.09781211500
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,2.48981440220,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,2.48981440220
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580510,L0,L0,2,4,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580510
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410571124,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410571124
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400154016,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400154016
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22399732102,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22399732102
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580356,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580356
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410145160,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410145160
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580324,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580324
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22399732133,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22399732133
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410571124,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410571124
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,6.27295538691,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,6.27295538691
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,9.44958900216,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,9.44958900216
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,2.24032374717,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,2.24032374717
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,1.79221649008,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,1.79221649008
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,17.67481267310,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,17.67481267310
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,2.44013537388,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,2.44013537388
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,2.03086368258,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,2.03086368258
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580510,L0,L0,1,4,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580510
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410571124,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410571124
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400154016,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400154016
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22399732102,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22399732102
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580356,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580356
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410145160,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410145160
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580324,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580324
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22399732133,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22399732133
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410571124,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410571124
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580510,L0,L0,2,4,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580510
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410571124,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410571124
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400154016,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400154016
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22399732102,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22399732102
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580356,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580356
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410145160,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410145160
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22400580324,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22400580324
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22399732133,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22399732133
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22410571124,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,0.22410571124
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,3.80862601082,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,3.80862601082
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,17.02675342010,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,17.02675342010
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,14.92717263370,L0,L0,2,1,1,0,OtherBuildings.DignityHealthArena.L0,14.92717263370
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,1.80030653535,L0,L0,1,1,1,0,OtherBuildings.DignityHealthArena.L0,1.80030653535
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22520046769,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22520046769
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22490073754,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22490073754
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644256,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644256
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22520046769,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22520046769
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,11.08083055670,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,11.08083055670
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644256,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644256
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055505,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055505
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499645008,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499645008
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055513,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055513
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499228690,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499228690
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510479755,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510479755
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22490073754,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22490073754
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22509220317,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22509220317
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064258,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064258
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500488688,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500488688
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22509221061,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22509221061
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22520046777,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22520046777
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,1.35019526654,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,1.35019526654
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,10.57657061480,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,10.57657061480
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,3.37548424132,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,3.37548424132
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,5.62685257398,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,5.62685257398
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22520046769,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22520046769
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22490073754,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22490073754
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644256,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644256
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22520046769,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22520046769
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064258,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064258
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644256,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644256
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055505,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055505
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499645008,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499645008
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510055513,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510055513
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499228690,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499228690
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22510479755,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22510479755
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22490073754,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22490073754
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22509220317,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22509220317
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064258,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064258
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500488688,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500488688
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22509221061,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22509221061
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22520046777,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22520046777
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22500064250,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22500064250
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499644256,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499644256
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,54.39908270630,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,54.39908270630
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,11.43114128430,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,11.43114128430
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,17.10254612200,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,17.10254612200
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,9.35584573971,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,9.35584573971
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,8.09394752721,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,8.09394752721
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,17.16139693650,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,17.16139693650
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,12.59298564150,L01,L01,1,2,1,1,OtherBuildings.DignityHealthArena.L01,12.59298564150
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,1.57519177297,L01,L01,2,1,1,1,OtherBuildings.DignityHealthArena.L01,1.57519177297
0,OtherBuildings.DignityHealthArena,Dignity Health Arena,0.22499645000,L01,L01,1,1,1,1,OtherBuildings.DignityHealthArena.L01,0.22499645000
